#step enthalpy vol
0 5.6968566578171692066e+35 5653.6946351555707224
1000 -94510.764105175854638 5653.6946351555707224
2000 -94524.67955645294569 5653.6946351555707224
3000 -94527.564779863198055 5653.6946351555707224
4000 -94517.160125743946992 5653.6946351555707224
5000 -94516.338098695239751 5653.6946351555707224
6000 -94506.049954027999775 5653.6946351555707224
7000 -94514.160230261128163 5653.6946351555707224
8000 -94517.479643630358623 5653.6946351555707224
9000 -94517.347796651680255 5653.6946351555707224
10000 -94512.200968912584358 5653.6946351555707224
11000 -94514.148653354423004 5653.6946351555707224
12000 -94510.37273199079209 5653.6946351555707224
13000 -94506.164112314902013 5653.6946351555707224
14000 -94519.725979303286294 5653.6946351555707224
15000 -94524.48231634759577 5653.6946351555707224
16000 -94521.355232885398436 5653.6946351555707224
17000 -94528.890179862108198 5653.6946351555707224
18000 -94512.030591559188906 5653.6946351555707224
19000 -94508.751624764045118 5653.6946351555707224
20000 -94494.042320059728809 5653.6946351555707224
21000 -94512.52304156513128 5653.6946351555707224
22000 -94515.205169520791969 5653.6946351555707224
23000 -94519.480341208865866 5653.6946351555707224
24000 -94502.007504730427172 5653.6946351555707224
25000 -94524.646102475715452 5653.6946351555707224
26000 -94521.323933456369559 5653.6946351555707224
27000 -94518.250817778462078 5653.6946351555707224
28000 -94521.144376389216632 5653.6946351555707224
29000 -94520.021260181922116 5653.6946351555707224
30000 -94512.623691978282295 5653.6946351555707224
31000 -94498.747954887046944 5653.6946351555707224
32000 -94515.4862364619039 5653.6946351555707224
33000 -94509.110570650853333 5653.6946351555707224
34000 -94515.355979210216901 5653.6946351555707224
35000 -94507.136341361765517 5653.6946351555707224
36000 -94528.016185410335311 5653.6946351555707224
37000 -94508.126346290184301 5653.6946351555707224
38000 -94519.847628180257743 5653.6946351555707224
39000 -94502.682711797664524 5653.6946351555707224
40000 -94517.896062389176222 5653.6946351555707224
41000 -94531.477084631260368 5653.6946351555707224
42000 -94514.734664911113214 5653.6946351555707224
43000 -94523.460909173008986 5653.6946351555707224
44000 -94523.644397906769882 5653.6946351555707224
45000 -94520.422818734165048 5653.6946351555707224
46000 -94512.917606375209289 5653.6946351555707224
47000 -94520.813311152145616 5653.6946351555707224
48000 -94514.882959477617987 5653.6946351555707224
49000 -94520.122219878074247 5653.6946351555707224
50000 -94527.095626462309156 5653.6946351555707224
51000 -94522.028026307845721 5653.6946351555707224
52000 -94512.286279442734667 5653.6946351555707224
53000 -94509.805537983236718 5653.6946351555707224
54000 -94501.205839058806305 5653.6946351555707224
55000 -94531.665639203871251 5653.6946351555707224
56000 -94504.464122580291587 5653.6946351555707224
57000 -94512.851173713177559 5653.6946351555707224
58000 -94514.805593124430743 5653.6946351555707224
59000 -94517.713630781756365 5653.6946351555707224
60000 -94503.118946276750648 5653.6946351555707224
61000 -94507.996231094526593 5653.6946351555707224
62000 -94513.582744099578122 5653.6946351555707224
